Row Labels,Sum of Lootboxes
r9Sv6hJaB4SXaMcaRZifnmL8xeieW93p75,195
rpfVxoGWyCG9U8CoYadqaArdabwqirXsKA,75
r4LNVjgrjyCndmNPeKW6iJJfdAL3G1VhnR,63
rHKStNq3QQHHRUp3CG6z1riufHWA5VLfY8,23
raUXAEo9dT6NWWDrpPs6muPQbmrAyxj7Xm,24
r4N3QfFRcedD6kyv9vbwBJ7iNE7qYMcTqn,21
rEtqTY8BNBYNLah3yXeasrJSJQxvkHQ7ro,21
rLNMFp78EnZbUcEWQW9Fu88SqciqnbHqtP,19
rGNAoM3punrrP5rPc94EqYvzD67Sedopuo,16
rMjN4c2p9yvuTvVozYYUwoF2U859M9tQcC,16
rPBwMeDTbrkfVPkGCAVvWMeLXwXaTwMRz6,15
r4zLg6wZyXfn1hs92pYxiD4xWaPZADrgMr,13
rNRH7SK54JZS2r7PVSbC4ZuboKahdJFcb9,13
rPexguxEfaBaVtGmdPZDxwcc4PwNUTm3y8,14
rUoGdq9JaUuQAKXvfHYqzzHZh4EJugmZi3,10
raXcH79zhz6i6teeSeBto2a8vRWfTncjNj,9
rBH7m2rKDs4EgWit3phcGiEkoTRUgBTYx7,10
rLNNGQwberUSwBVT4AxxcHdo67SnccwhZc,9
raQNZe6E9MYkWZrygZ9Ed1ZTRTzcNDMBBG,8
rLR8deyxTYwF5pocrFqEhDubhbX8L4P7TN,8
rp68tim3vXZeZYRwJzvwRGCxHVg4y2E5We,8
rEHULLu53RabgghrhwUsPKejNR91ieqoPR,7
rG77aUzsiwCHBw3MEdEcV78uPefHtx885t,7
rGiCYTLYdysapVCnkxVqYDFpXrNkP2ZGmN,7
rPRof1FAbAMsceVVWmpv2i8yh9MrrBkVAh,100
rUstybALZiejChFkgJtsP33hBCkb8yEYGn,7
rBNmfMkbqnWzht5tv7ndYm23FEE1LrbfUb,6
rGnBUCwMJSX57QDecdyT5drdG3gvsmVqxD,8
rKetnq57qywEM1ovZBfdCAGrE9hAG4wiMr,6
rKR4MLeRB5FYGXrXfxjyDvyzwQyM2XGtJP,6
rNdkcwbVMhxqvv8sUSQfcg2BoEDMB5dBAP,6
rNL5mo17AjdunXBcHqWP34WpzSn4ArHHLp,6
rpHjtR5cYmGYEYSofefbwa2izj6Mgv9rEv,6
rsSDTfFq8zgLFcccw6vY84uBdwdU6TsF4T,6
rsy1xWmAvhCoTjF36KdrjX1FW3xKMDy3j9,6
rUpucKVa5Rvjmn8nL5aTKpEaBQUbXrZAcV,6
rExK8TgtWigYb1vx9uZTrZrPht7pdQzoQm,5
rG3z57BRWMAX71bhHoDuroJTsmwPnxdwm4,5
rMaKx3ZGUQoigzSzQtHWkNgC7m6JArV2Pf,5
rwuGTJnzugFTBPDva924Wb22poUnU161qt,6
rwvtdWaGhMV7K7gzoXazvM5VQwN6ZZUQFB,5
rZECqtBYM3eiesRW5SnWuCw8jYqRSdcPD,5
r4uo8i75PU4MR3iCnA8dx6RqKvxKq7Mvta,4
rE9L9Z2TFWgy8ETeCydpEhQHG5MHf7urmr,4
