Level,XP Required per level,Total XP Earned,Wins (1 win = 10 XP),Revive Potion,Mission Refreshes,EXP Per Win,,Revive Value,Mission Value
1,10,10,1,,,10,,0,0
2,20,30,2,1,1,,,8.99,8.99
3,30,60,3,,,,,0,0
4,40,100,4,2,2,,,17.98,17.98
5,50,150,5,,,,,0,0
6,60,210,6,3,3,,,26.97,26.97
7,70,280,7,,,,,0,0
8,80,360,8,4,4,,,35.96,35.96
9,90,450,9,,,,,0,0
10,100,550,10,,,,,0,0
11,120,670,12,,,,,0,0
12,140,810,14,5,5,,,44.95,44.95
13,160,970,16,,,,,0,0
14,180,1150,18,,,,,0,0
15,200,1350,20,,,,,0,0
16,220,1570,22,6,6,,,53.94,53.94
17,240,1810,24,,,,,0,0
18,260,2070,26,,,,,0,0
19,280,2350,28,,,,,0,0
20,300,2650,30,7,7,,,62.93,62.93
21,340,2990,34,,,,,0,0
22,380,3370,38,,,,,0,0
23,420,3790,42,,,,,0,0
24,460,4250,46,8,8,,,71.92,71.92
25,500,4750,50,,,,,0,0
26,540,5290,54,,,Wins Per Day Cap,,0,0
27,580,5870,58,,,10,,0,0
28,620,6490,62,9,9,,,80.91,80.91
29,660,7150,66,,,,,0,0
30,750,7900,75,,,Time Spent at max efficiency,,0,0
,7900,7900,790,45,45,34,,404.55 XRP,404.55 XRP
,Total XP Required,Total XP Required,Total Wins Required,Level Up Bonuses,,Days,,Total Revive V,Total Mission V
