Row Labels,Sum of Lootbox Chances
rPRof1FAbAMsceVVWmpv2i8yh9MrrBkVAh,100
r9dPq527wLw6hUbD31QingL3RUa1PK3VMt,103
rKXQxhG2ieKb1EauS5kWG9VceBN4soDbQN,82
rp1nu7hJVyKBT3mVxCY1mVcaC4FPX2w7yA,79
rKQeAoJE4x1uBv7mJGV3zMDhyPrutwi53D,60
rUtssZDe6QgC3GLxuU6EC1tQ8nYBb5F87b,51
r4RkRxUR9VrBRZPurFZgNv7dXd25a1eFuN,38
r9LmfhMUukGb93FotmMUGBUVAu4rFGNLJM,37
rLL9RAhsavUALx1iV4FVGXuWodrpkztLMH,32
rBevqhWN3PSxai6UUvmr2rR4mF1i3u98To,30
r9BCCwZtejqBcSCrDW8L5692Z5KrM6KmKU,29
rLknXuWAKyQbe8eqtdR9S1PgWB1CzSZYgz,26
r9Sv6hJaB4SXaMcaRZifnmL8xeieW93p75,26
rpTe9tS8PyizHXaRrg8XFX9WGM35fZQQLW,25
rBBxUPnV1eQ1kdJBG4WJtUk7bZ8qLdCACZ,24
rGKeoQ5drb9EUjhoUDKHR2sxum43xJqgtm,24
rDdEGJSujW3YTMtmX19F33hjUoQYFcS8tZ,24
rH7RNF5MwTm8VbLMcsDHWTNnMggjNSaM9o,24
r3d8FHrGe2JZCxHboYFpGwjoaUZoXhpvmC,21
r4j7qRqXgTVDBwHo4x1NK5UJGfFMB6hBZV,21
rndi4kuBPzpuZHYRnzg5efywUkVEmmFbPr,21
rKL1i9spfxoHVfZtNpRRWKpgq3GV3MX1uG,20
rMCjEWHdoygTpomTVTsemY1ewAwDCFKjuB,20
rDFMo1UXozfwcrY2f8gpKPisZSRzf5FRPY,19
rhENCRhBo6DXrGwW3pZGEbY9atbKeFjkE4,19
ratUPU3tZjrbjR7Nf9x3EvbykccXukKVCs,18
r3K6wBtsbZE4i1uHBwNg4dgawFpv6g95Vr,18
rDbb8GsW6T94znEhaDBThEgEJrwsp4L9Sm,18
rfqpfTqqCsa2dVNTd2SFwGKAeFZdCeDrDr,17
rJCGL6hW2hcippbZRzcJbX9isp4DL9G1gq,17
rQfn21KgsSQknM6vZPFvfuAekhi9ryW3UK,17
r4QbXHzDuxEykjL6Ro4HisKUdy5iwtGSn1,16
rUYYh3qUwzcPeuW8FNNmpUPsQVzyfSM599,16
rsYnyLqVnypsUq2ZwDCjB8FzocqNP3WTQk,16
rD31GAYvyNJPknFucjhLEsRg7Uc5D87GMG,16
rf3jPqJYQ4Z3zRYvdysYfhh9jE7zW2wxRL,15
rNRH7SK54JZS2r7PVSbC4ZuboKahdJFcb9,15
rNEFn7qtEwAiHiovpzH7HrLhLizEyVc739,15
rsYCv3djLKakt3uWJERHqGvpKPyZFXeFSv,14
rCswdo8YCa1VYvo2JTPSbmRQa4L1kmJjo,13
rEzB8v312g3g8feUYS1K73kR9s1p95Avjq,13
rKetnq57qywEM1ovZBfdCAGrE9hAG4wiMr,13
rnRaCtte6gciSZ7mDRuarcpFeGUooer9SV,12
rKHgv36pazQk5PykSgwuTMfoG3xZRSWidf,12
r3PqrAz7A9koLh9zXr788Dqim5RU6nSFx4,12
rBp11DpuKgU9n6dcqXhtSfbDbvCVV9h8FS,12
rfouVdYmxsygtNAwD9cmr4NA4wefoMX3Ui,11
rK9UauDauvnJgTHVgx7QVsbyt9G75AmX3H,11
rLadbCqcKDZJCPCuQE3SUYnZpRc9LVPPTM,11
rsqTsSbVahNXcvGx3eiEBvtheLG1KHXZxh,11
rG77aUzsiwCHBw3MEdEcV78uPefHtx885t,11
rKaaK93ueV3rQniMcm951ZR94g3WidV2WD,11
rnE6iYamrzX1V3pQT7v7Tu5p2RWx97jaEj,11
rXztFXTQ8jCyYs8CTnj8LuWuXavVJa5ac,11
r4jgzp9aSmCvbbmrAKVmWsrPjQJaWqW7Bx,11
rrnJoS3QYywMpmEEWt34dvE3LiRwE1sAL6,11
r3xdPsXtYmq6UVndk8VNbmrMv39PyY11mP,10
rBCyMzyiJQcwshGKFVLgaCouWXsyxf8Lo9,10
rgCxZHjtPeUaT2C8hxr61XBRL2frYhqG6,10
rU4uMqWo6aFUrntLdsYTL9xjjwHsSEoNrR,10
rUg3PhHCW3SknEy4zC5vYvgJsH1AAUMUAQ,10
rDKDcpfaicGLJ1ESwZnEvcz7gDFgxgQDA3,10
rJUPfNcFzAeAZp8uBUPTkJP7bZdfQxYLD7,10
rDj4uv8Nhx17yiNkniAi6nVgNBHUQ7FLwF,10
rN39F2gZhKpoteZi6mi95yM4T1L2m5AxAh,10
rUv4X1NEcqA6rtnd8DjiYycSCDYVrn1Tc8,9
rwsqkAsrRabtqFwvjjjbEFHmdTZLsGxx87,9
rJ5QjerkznBigx7Qxho5KTNroocm5EucBP,9
ra3nUHub2Frt1B2ocW82xBMHZcx5mSScWp,9
rGnBUCwMJSX57QDecdyT5drdG3gvsmVqxD,9
rM2soDD8quZU7uQUnUPVoL4uBmy7ZSbfKo,9
rMizQmmaaciN28ymQd9Q8HQqGixnKs1eHn,9
rsVnj6jXW5KnDEnDecJ3iBKbwEqn9J8izb,8
rp69rLhTS5dBB2Tk8nY8Zgj1cF1WGJsjoa,8
rpmZY4fMm37KqG7rdj2D2BaSwS99Ay2aRT,8
rpSNzeeeh1vePqXuhpvNUTqbfsQR8MJieS,8
rhWm5ybC85sCeCQT3fgUY4mtpw7at8v9B8,8
rNdkcwbVMhxqvv8sUSQfcg2BoEDMB5dBAP,7
rNP3sHxzbjazPX83nwcgH6v35kmehAKpRK,7
rELnxvFDfX4ZxWYjJWfeRDUZrquSVnwo4N,7
rEQ5ZeYMXrBXn13sjvN3jLG1c1iEM6D77C,7
rLPdbVWPRtpYopq4FK3xWepXbFmCNd6fgg,7
rUobVBpvRwZ7k73QJ7ZURWxcPsNyhTy6xN,7
r9XmtfWPmLaYhXVmPGF1EAyTSnJySnLTE9,7
rHqeTuduQAB6JnHVuaJue8egyaGrpC57NP,7
rMjN4c2p9yvuTvVozYYUwoF2U859M9tQcC,7
raUXAEo9dT6NWWDrpPs6muPQbmrAyxj7Xm,6
rsjM5q4q7eNj2q5sMs7bJhEiJEgA38VKor,6
rEPLQMzo31HYWqsYT1ToErn4ZwQDVMRGwi,6
rNHimJuCTyoE13f5g6AdR2J91w8FqdXUc7,6
rQnkBjmL88DbbbJF7E7LnW4Rz2KWespxyt,6
r9GUrHMGth5PjfoCrTXMwJJhnrK4au843U,6
rDReN3oeBDmSgoZeJxc3GRA5JN7shrw96d,6
rMCCn6j1BjJdQeAiyGxmsJ21jL7f7TMaPW,6
rah3yhekWtbCJ8m6TJR2VcTVXazW6gHdPq,6
rHghVLV2PLCRUUcooG2PtMoDLF4LwNQH6T,6
rJ4zCnphZi8t1Tmio42BPuG6BbyWxwiZPQ,6
rKgDoAKC6PEYEiaZjMRbsANiUM975vbGKY,6
rnu7S9RK5rKN8p8CfBQJzbRo2w2m5cRDBm,6
rUdh2znnKgKgsjnup8r6CWQFLJBEjobeGE,6
raqJgMJyZAY5ZG4pF4o5iuyQEv6Vw5RZT1,5
rJzyW3mQuANHZ4omRrLedd9CWGwXJNMa6J,5
rN522JmJcR1WtaFLma7MPWws3Xcj7vqMTU,5
rw1t4YcpUHD6NKeVMATETpfaT75rvVrTr5,5
rBH7m2rKDs4EgWit3phcGiEkoTRUgBTYx7,5
rDEKrjS6UDv8cgu5gWdTXE3ofJz16qH6EE,5
rGLwwwwwwqzCrqS7YxgsvgcpqdjvQBo86C,5
rK1K48MQHLv5eciWtfL9HNKMJvuYsocKLK,5
rssk1Xks6PAYkLrma3HNqkXVebBcAf8SZQ,5
r3fBkMpL2JEFTrYDcvR9uQScWAvx4tQzP4,5
rfDr2jUog9XexaeEC2iJTMAhqZbs6pqTQZ,5
rGSaHMjd116W5ndr4Gkhzeh7kSf1DpEqsy,5
rJqy8RzTnDabMS9VXGRmAFPxHUMrpnAF1U,5
rMraqG7qoAxyao6HQti6annLajjVCXYKQk,5
rUDN58U2W72p5846e3W5HnWybNhupvPuhX,5
r3osNS3gd9hGuLqx92BbcEJJnGbjBZX42A,5
raXcH79zhz6i6teeSeBto2a8vRWfTncjNj,5
rELQpgT2t4oMdWVEAtT5pNVcsi4G697AQ,5
rEUBp8LU9wR1S3ibr7RNWpVttZqJcHKPTQ,5
rJxY8QCdJCy7QoWDBmhdj7A3HLx9Xwdh6H,5
rN7pcZc1kuY6ETDJmvkBD6DoLyMskLnwVp,5
rQ3Akg2mNLkFRsEW5yHmJBrAt1Vt3TKKtm,5
rQHveZ6yCKwNSGRiu4QnTSjJbLRfgBr72p,5
rsRPHwDyRv18j1hT1wkQEHCvtCpgKYYyGc,5
rUmdaarJ8B7JHBSLsWLEbP1kAYsWr1qcad,5
rLC3vrpjBmBTEWmbw4BVDGZyWYb5tVqD3Z,5
r4t3XX5eHf3LbBPASe4CEZxTRATUg98etL,4
rDP2mjceqKgsrH8Mz9zmGsQenUvHeevHwN,4
rGeJeDez5EsfGwcZgcersCCKZ8NsR92tEa,4
rhmzTV41UBWJKLqm8gNDVUqTALjxgpGiXe,4
rJADeEHPeMqkq7pzYi4gTyaReQ3siLFgES,4
rKxJoQrBCesfyEqiVJWJAmAaFMKwzwKYT8,4
rLiooJRSKeiNfRJcDBUhu4rcjQjGLWqa4p,4
rNKArebHNkJoaBTX7gh4RyFLdU4FPFmjZx,4
rUpvbQDu2yGEv6vuMJus3yrv45zwwKyrGg,4
rw7j6r8Nb5H8ubcL7kEHK7gE3emHawV6na,4
rwt56UuQhB6GBMjZUt9aABitDJNUDwHGG6,4
r3EhtvGQ7XMSGuQjmT7QQN2eMM88bGybuB,4
r98d3C34ePWkHdctxGXMsM851Wr6HDvGj9,4
rExDC3dHur7K9Bary5qV9qXDtPwMEtK3u7,4
rGHwpEMhAnJe7BnKNPkcHUhVPH3CvWEpGp,4
rhUsfqSsBGB5Zhfc2UKFeahLXXG5rSVtcP,4
rKqW7MmrSejV7rjmhuvjUf1xBbmKY9VCVp,4
rL9V1JhauNWZzDVWBXXiEGDe8g3S1t5wah,4
rLUyQK2rnFYGCVHSVKZWFp3hGw7276TcMB,4
r463pCYBEtDxf8wCWbHPVJvpPqEK2CDYWV,4
rGskwsuK8PxESf6xAicbkJhCDBDvetCYZF,4
rhfT7f9Mr3YXt8EhfRvfMo2uF7B33PQHcZ,4
rKbv5dsorD7MGuqc9NvbvC5BMZFgex2LVs,4
rNDjAdHEKhWmyq5qWAqaNn42w4W85hSjjZ,4
rPMJfpZGvFpyvazVn12Rn3Uh7QrgKpFNTq,4
rsVFin1Kv1vuYwSu8x93TSYjPQK1Lw5c9i,4
ruRb7BuU4hAXfvChhkGmK65oh6Ac4W7xK,4
r3XqdHELPEZen3ijViPrxv9WCLx9Nq1ngk,4
rDV3wBoEhTPwdR9P56Qyp8vehLsDk5Yqv3,4
rGCuH7MvC5aCEKMzAN34xpm51RSSgnBati,4
rJFVRx7XcZhcfDpfixazVbmuozf8tTiqKm,4
rKKtNdEC8vRyPPEp6sguZjHkhiJM5fJPxF,4
