Move ID,Move Name,Type,Damage,Colour,Notes,Purple Move Effect ID,Melee Ranged,Move ID
#1,Miss,Filler,0,Red,,,Null,#1
#2,Kick,Normal,30,White,,,1,#2
#3,Punch,Normal,30,White,,,1,#3
#4,Scratch,Normal,30,White,,,1,#4
#5,Pound,Normal,30,White,,,1,#5
#6,Strike,Normal,35,White,,,1,#6
#7,Spin Attack,Normal,35,White,,,1,#7
#8,Clap Slap,Normal,45,White,,,1,#8
#9,Tail Swipe,Normal,50,White,,,1,#9
#10,Echo Wave,Normal,50,White,,,2,#10
#11,Body Slam,Normal,60,White,,,1,#11
#12,Stomp,Normal,65,White,,,1,#12
#13,Head Kick,Normal,70,White,,,1,#13
#14,Skull Bash,Normal,80,White,,,1,#14
#15,Wild Rush,Normal,80,White,,,1,#15
#16,Jaw Crush,Normal,85,White,,,1,#16
#17,Guillotine,Normal,85,White,,,1,#17
#18,Flurry of Blows,Normal,90,White,,,1,#18
#19,Spear Drill,Normal,90,White,,,1,#19
#20,Bump and Run,Normal,100,White,,,1,#20
#21,Giga Slam,Normal,100,White,,,1,#21
#22,Mega Blast,Normal,110,White,,,2,#22
#23,Death Charge,Normal,120,White,,,1,#23
#24,Last Resort,Normal,120,White,,,1,#24
#25,Quick Attack,Normal,40,Gold,,,1,#25
#26,Jet Strike,Normal,55,Gold,,,1,#26
#27,Snuggle Tackle,Normal,70,Gold,,,1,#27
#28,Extreme Speed,Normal,85,Gold,,,1,#28
#29,Confuse Ray,Normal,*,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 10%,61,4,#29
#30,Lullaby,Normal,**,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 20%,62,4,#30
#31,Screech,Normal,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#31
#32,Taunt and Tease,Normal,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#32
#33,Blaze Kick,Fire,30,White,,,1,#33
#34,Fire Whip,Fire,30,White,,,2,#34
#35,Heat Wave,Fire,50,White,,,2,#35
#36,Flame Charge,Fire,50,White,,,1,#36
#37,Inferno Blitz,Fire,80,White,,,1,#37
#38,Magma Blast,Fire,80,White,,,2,#38
#39,Flame Cannon,Fire,100,White,,,2,#39
#40,Incinerate,Fire,100,White,,,2,#40
#41,Archaic Eruption,Fire,120,White,,,2,#41
#42,Fireball Storm,Fire,120,White,,,2,#42
#43,Ember Wheel,Fire,40,Gold,,,1,#43
#44,Searing Strike,Fire,55,Gold,,,1,#44
#45,Flame Whirlwind,Fire,70,Gold,,,2,#45
#46,Infernal Explosion,Fire,85,Gold,,,2,#46
#47,Fire Cloak,Fire,*,Purple,Increase Own Highest Percentage Attack Chance by 10%,21,3,#47
#48,Burn Up,Fire,**,Purple,Increase Own Highest Percentage Attack Chance by 20%,22,3,#48
#49,Molten Maelstrom,Fire,***,Purple,Increase Own Highest Percentage Attack Chance by 30%,23,3,#49
#50,Phoenix Fury,Fire,****,Purple,Increase Own Highest Percentage Attack Chance by 40%,24,3,#50
#51,Aqua Jet,Water,30,White,,,1,#51
#52,Bubble Blast,Water,30,White,,,2,#52
#53,Water Gun,Water,50,White,,,2,#53
#54,Surf Strike,Water,50,White,,,1,#54
#55,Tidal Wave,Water,80,White,,,2,#55
#56,Hydro Cannon,Water,80,White,,,2,#56
#57,Waterfall Charge,Water,100,White,,,1,#57
#58,Tsunami Slam,Water,100,White,,,1,#58
#59,Oceanic Surge,Water,120,White,,,2,#59
#60,Whirlpool Vortex,Water,120,White,,,2,#60
#61,Rain Dance Rush,Water,40,Gold,,,1,#61
#62,Water Whip,Water,55,Gold,,,2,#62
#63,Torrential Tempest,Water,70,Gold,,,1,#63
#64,Drenching Downpour,Water,85,Gold,,,2,#64
#65,Seafoam Shield,Water,*,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 5%,41,4,#65
#66,Bubble Barrier,Water,**,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 10%,42,4,#66
#67,Aqua Veil,Water,***,Purple,Increase Own Highest Percentage Attack Chance by 30%,23,3,#67
#68,Briny Blast,Water,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#68
#69,Vine Whip,Grass,30,White,,,2,#69
#70,Razor Leaf,Grass,30,White,,,2,#70
#71,Grass Whirlwind,Grass,50,White,,,2,#71
#72,Foliage Frenzy,Grass,50,White,,,1,#72
#73,Bramble Barrage,Grass,80,White,,,1,#73
#74,Seed Bomb,Grass,80,White,,,2,#74
#75,Solar Beam,Grass,100,White,,,2,#75
#76,Forest Fury,Grass,100,White,,,1,#76
#77,Thorn Blizzard,Grass,120,White,,,2,#77
#78,Photosynthesis Flare,Grass,120,White,,,2,#78
#79,Blossom Blast,Grass,40,Gold,,,2,#79
#80,Pollen Puff,Grass,55,Gold,,,2,#80
#81,Leaf Tornado,Grass,70,Gold,,,2,#81
#82,Chlorophyll Charge,Grass,85,Gold,,,1,#82
#83,Petal Dance,Grass,*,Purple,Increase Own Lowest Percentage Attack Chance by 8%,1,3,#83
#84,Root Rend,Grass,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#84
#85,Seed Scatter,Grass,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#85
#86,Floral Fusion,Grass,****,Purple,Increase Own Highest Percentage Attack Chance by 40%,24,3,#86
#87,Spark Discharge,Electric,30,White,,,2,#87
#88,Volt Tackle,Electric,30,White,,,1,#88
#89,Thunder Strike,Electric,50,White,,,2,#89
#90,Plasma Burst,Electric,50,White,,,2,#90
#91,Zap Cannon,Electric,80,White,,,2,#91
#92,Electric Whip,Electric,80,White,,,2,#92
#93,Electro Storm,Electric,100,White,,,2,#93
#94,Thunderclap Crash,Electric,100,White,,,1,#94
#95,Magnet Mayhem,Electric,120,White,,,2,#95
#96,Thunderbolt Blitz,Electric,120,White,,,1,#96
#97,Zap Kick,Electric,40,Gold,,,1,#97
#98,Spark Shuriken,Electric,55,Gold,,,2,#98
#99,Electro Ball,Electric,70,Gold,,,2,#99
#100,Shockwave Smash,Electric,85,Gold,,,2,#100
#101,Surge Shield,Electric,*,Purple,Increase Own Highest Percentage Attack Chance by 10%,21,3,#101
#102,Magnet Wave,Electric,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#102
#103,Thunderous Roar,Electric,***,Purple,Increase Own Lowest Percentage Attack Chance by 24%,3,3,#103
#104,Shockwave Shield,Electric,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#104
#105,Frost Bite,Ice,30,White,,,1,#105
#106,Snowball Strike,Ice,30,White,,,2,#106
#107,Blizzard Burst,Ice,50,White,,,2,#107
#108,Ice Fang,Ice,50,White,,,1,#108
#109,Frost Nova,Ice,80,White,,,2,#109
#110,Frozen Spear,Ice,80,White,,,2,#110
#111,Glacial Crush,Ice,100,White,,,1,#111
#112,Subzero Slash,Ice,100,White,,,1,#112
#113,Winter's Wrath,Ice,120,White,,,2,#113
#114,Arctic Avalanche,Ice,120,White,,,2,#114
#115,Cold Snap Kick,Ice,40,Gold,,,1,#115
#116,Artic Chill,Ice,55,Gold,,,2,#116
#117,Hailstorm Fury,Ice,70,Gold,,,2,#117
#118,Crystal Crush,Ice,85,Gold,,,2,#118
#119,Icy Wind,Ice,*,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 10%,61,4,#119
#120,Freeze Ray,Ice,**,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 20%,62,4,#120
#121,Ice Wall,Ice,***,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 15%,43,4,#121
#122,Blizzard Cataclysm,Ice,****,Purple,Increase Own Lowest Percentage Attack Chance by 32%,4,3,#122
#123,Power Punch,Fighting,30,White,,,1,#123
#124,Karate Clap,Fighting,30,White,,,1,#124
#125,Spinning Backfist,Fighting,50,White,,,1,#125
#126,Roundhouse Uppercut,Fighting,50,White,,,1,#126
#127,Suplex Slam,Fighting,80,White,,,1,#127
#128,Fists of Fury,Fighting,80,White,,,1,#128
#129,Bone Breaker,Fighting,100,White,,,1,#129
#130,Iron Strike,Fighting,100,White,,,1,#130
#131,Dragon Kick,Fighting,120,White,,,1,#131
#132,Submission Slam,Fighting,120,White,,,1,#132
#133,Low Sweep,Fighting,40,Gold,,,1,#133
#134,Cross Chop,Fighting,55,Gold,,,1,#134
#135,Smack Down,Fighting,70,Gold,,,1,#135
#136,Close Combat,Fighting,85,Gold,,,1,#136
#137,Spirit Boost,Fighting,*,Purple,Increase Own Lowest Percentage Attack Chance by 8%,1,3,#137
#138,Courageous Roar,Fighting,**,Purple,Increase Own Highest Percentage Attack Chance by 20%,22,3,#138
#139,Guard Up,Fighting,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#139
#140,Kung Fu Confusion,Fighting,****,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 40%,64,4,#140
#141,Poison Sting,Poison,30,White,,,1,#141
#142,Toxic Spray,Poison,30,White,,,2,#142
#143,Sludge Bomb,Poison,50,White,,,2,#143
#144,Venomous Bite,Poison,50,White,,,1,#144
#145,Acid Splash,Poison,80,White,,,2,#145
#146,Poisonous Whirlwind,Poison,80,White,,,2,#146
#147,Acidic Avalanche,Poison,100,White,,,2,#147
#148,Toxic Tornado,Poison,100,White,,,2,#148
#149,Corrosive Comet,Poison,120,White,,,2,#149
#150,Venoshock,Poison,120,White,,,1,#150
#151,Poisonous Puddle,Poison,40,Gold,,,2,#151
#152,Sludge Cannon,Poison,55,Gold,,,2,#152
#153,Venom Pounce,Poison,70,Gold,,,1,#153
#154,Noxious Eruption,Poison,85,Gold,,,2,#154
#155,Toxic Touch,Poison,*,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Gold Attack Chance by 8%,71,4,#155
#156,Corrosive Vapors,Poison,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#156
#157,Acid Rain,Poison,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 24%,93,4,#157
#158,Venemous Vortex,Poison,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 32%,94,4,#158
#159,Mud Bomb,Ground,30,White,,,2,#159
#160,Ground Pound,Ground,30,White,,,1,#160
#161,Power Dig,Ground,50,White,,,1,#161
#162,Sandblast,Ground,50,White,,,2,#162
#163,Sand Whip,Ground,80,White,,,2,#163
#164,Sandstorm Fury,Ground,80,White,,,2,#164
