#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fiepion,Fire,,Flame Charge,50,Fire,#36,9.00%,Wild Rush,80,Normal,#15,15.00%,Quick Attack,40,Normal,#25,12.00%,Infernal Explosion,85,Fire,#46,12.00%,Taunt and Tease,****,#32,18.00%,Screech,***,#31,14.00%,Dodge,#376,6.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E16E5DA9C00000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Elapix,Fire,,Magma Blast,80,Fire,#38,14.00%,Bump and Run,100,Normal,#20,19.00%,Ice Fang,50,Ice,#108,10.00%,Infernal Explosion,85,Fire,#46,12.00%,Pheonix Fury,****,#50,10.00%,Burn Up,**,#48,14.00%,Evade,#375,10.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2DCBAB9D00000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blastingo,Fire,Fighting,Submission Slam,120,Fighting,#132,21.00%,Inferno Blitz,80,Fire,#37,27.00%,Extreme Speed,85,Normal,#28,12.00%,Spark Shuriken,55,Electric,#98,6.00%,Fire Cloak,*,#47,7.00%,Pheonix Fury,****,#50,8.00%,Backflip,#378,4.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E44B17C9E00000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sapple,Grass,,Foliage Frenzy,50,Grass,#72,12.00%,Seed Bomb,80,Grass,#74,18.00%,Extreme Speed,85,Normal,#28,13.00%,Digging Strike,55,Ground,#170,5.00%,Seed Scatter,***,#85,15.00%,Taunt and Tease,****,#32,20.00%,Withdraw,#379,7.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5B974D9F00000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cowl,Grass,,Seed Bomb,80,Grass,#74,12.00%,Sand Whip,80,Ground,#163,12.00%,Leaf Tornado,70,Grass,#81,15.00%,Tremor Shake,70,Ground,#171,20.00%,Gravel Grind,*,#245,7.00%,Floral Fusion,****,#86,18.00%,Protect,#377,6.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E727D1EA000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Armafree,Grass,Ground,Thorn Blizzard,120,Grass,#77,26.00%,Earthquake,100,Ground,#165,14.00%,Digging Strike,55,Ground,#170,11.00%,Chlorophyll Charge,85,Grass,#82,13.00%,Petal Dance,*,#83,13.00%,Sand Pit Trap,***,#175,11.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8962EFA100000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cobrung,Water,,Water Gun,50,Water,#53,12.00%,Zen Headbutt,80,Psychic,#200,12.00%,Water Whip,55,Water,#62,9.00%,,,,,0.00%,Aqua Veil,***,#67,26.00%,Sand Pit Trap,***,#175,26.00%,Dodge,#376,4.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA048C0A200000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cobrush,Water,,Tidal Wave,80,Water,#55,21.00%,Wild Rush,80,Normal,#15,9.00%,Torrential Tempest,70,Water,#63,22.00%,Venom Pounce,70,Poison,#153,18.00%,Freeze Ray,**,#120,8.00%,Briny Blast,****,#68,4.00%,Dive,#387,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB72E91A300000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cobash,Water,Poison,Acidic Avalanche,100,Poison,#147,21.00%,Midnight Maul,80,Dark,#289,20.00%,Eternal Nightfall,85,Dark,#298,12.00%,Drenching Downpour,85,Water,#64,14.00%,Nocturnal Nightmare,****,#302,6.00%,Dark Whispers,**,#300,5.00%,Parry,#388,4.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECE1462A400000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Skyroar,Dragon,Flying,Aeroblast,120,Flying,#186,18.00%,World-ending Fire,120,Dragon,#276,20.00%,Jet Strike,55,Normal,#26,8.00%,Shockwave Smash,85,Electric,#100,9.00%,Dragon's Roar,***,#283,6.00%,Ancient Rage,****,#284,14.00%,Fly,#391,13.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE4FA33A50000000A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Flamey,Dark,Fire,Skull Bash,80,Normal,#14,18.00%,Magma Blast,80,Fire,#38,9.00%,Eclipse Eruption,55,Dark,#296,20.00%,Flame Whirlwind,70,Fire,#45,17.00%,Pheonix Fury,****,#50,12.00%,Burn Up,**,#48,9.00%,Leap,#380,4.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC5D458BA0000001F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
