#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%
1,Fiepion,Fire,,Flame Charge,50,Fire,#36,10.00%,Wild Rush,80,Normal,#15,20.00%,Quick Attack,40,Normal,#25,10.00%,Infernal Explosion,85,Fire,#46,12.00%,Taunt and Tease,****,#32,18.00%,Screech,***,#31,13.00%,Dodge,#376,11.00%,Miss,#1,19.00%
2,Elapix,Fire,,Magma Blast,80,Fire,#38,13.00%,Bump and Run,100,Normal,#20,19.00%,Ice Fang,50,Ice,#108,11.00%,Infernal Explosion,85,Fire,#46,11.00%,Hellfire,*****,#454,5.00%,Burn Up,**,#48,21.00%,Evade,#375,19.00%,Miss,#1,20.00%
3,Blastingo,Fighting,Fire,Submission Slam,120,Fighting,#132,20.00%,Inferno Blitz,80,Fire,#37,27.00%,Extreme Speed,85,Normal,#28,8.00%,Spark Shuriken,55,Electric,#98,6.00%,Fire Cloak,*,#47,13.00%,Pheonix Fury,****,#50,9.00%,Backflip,#378,14.00%,Miss,#1,17.00%
4,Sapple,Grass,,Foliage Frenzy,50,Grass,#72,9.00%,Seed Bomb,80,Grass,#74,21.00%,Extreme Speed,85,Normal,#28,13.00%,Digging Strike,55,Ground,#170,5.00%,Leaf Wrap,*****,#443,15.00%,Taunt and Tease,****,#32,19.00%,Withdraw,#379,10.00%,Miss,#1,18.00%
5,Cowl,Grass,,Seed Bomb,80,Grass,#74,11.00%,Sand Whip,80,Ground,#163,12.00%,Leaf Tornado,70,Grass,#81,15.00%,Tremor Shake,70,Ground,#171,16.00%,Leaf Wrap,*****,#443,7.00%,Floral Fusion,****,#86,20.00%,Protect,#377,11.00%,Miss,#1,19.00%
6,Armafree,Grass,Ground,Thorn Blizzard,120,Grass,#77,19.00%,Earthquake,100,Ground,#165,12.00%,Digging Strike,55,Ground,#170,10.00%,Chlorophyll Charge,85,Grass,#82,13.00%,Leaf Wrap,*****,#443,10.00%,Sand Pit Trap,***,#175,8.00%,Protect,#377,11.00%,Miss,#1,28.00%
7,Cobrung,Water,,Water Gun,50,Water,#53,10.00%,Zen Headbutt,80,Psychic,#200,10.00%,Water Whip,55,Water,#62,9.00%,Water Power,75,Water,#474,11.00%,Oceanic Domain,*****,#455,11.00%,Sand Pit Trap,***,#175,24.00%,Dodge,#376,11.00%,Miss,#1,25.00%
8,Cobrush,Water,,Tidal Wave,80,Water,#55,22.00%,Wild Rush,80,Normal,#15,9.00%,Torrential Tempest,70,Water,#63,20.00%,Venom Pounce,70,Poison,#153,18.00%,Freeze Ray,**,#120,7.00%,Briny Blast,****,#68,10.00%,Dive,#387,13.00%,Miss,#1,14.00%
9,Cobash,Water,Poison,Acidic Avalanche,100,Poison,#147,21.00%,Midnight Maul,80,Dark,#289,19.00%,Eternal Nightfall,85,Dark,#298,11.00%,Drenching Downpour,85,Water,#64,12.00%,Nocturnal Nightmare,****,#302,7.00%,Dark Whispers,**,#300,6.00%,Parry,#388,18.00%,Miss,#1,24.00%
10,Skyroar,Dragon,Flying,Aeroblast,120,Flying,#186,18.00%,World-ending Fire,120,Dragon,#276,18.00%,Jet Strike,55,Normal,#26,9.00%,Shockwave Smash,85,Electric,#100,9.00%,Dragon's Roar,***,#283,5.00%,Ancient Rage,****,#284,15.00%,Fly,#391,30.00%,Miss,#1,26.00%
11,Flamey,Dark,Fire,Skull Bash,80,Normal,#14,14.00%,Magma Blast,80,Fire,#38,9.00%,Eclipse Eruption,55,Dark,#296,14.00%,Flame Whirlwind,70,Fire,#45,20.00%,Pheonix Fury,****,#50,14.00%,Burn Up,**,#48,8.00%,Leap,#380,12.00%,Miss,#1,21.00%
12,Lupis,Dark,Ghost,Midnight Maul,80,Dark,#289,16.00%,Ethereal Blast,80,Ghost,#254,12.00%,Close Combat,85,Fighting,#136,8.00%,Night Terror,70,Ghost,#261,12.00%,Soul Drain,***,#265,10.00%,Ghostly Possession,****,#266,13.00%,Evade,#375,24.00%,Miss,#1,29.00%
13,Hypoda,Ground,Water,Hydro Cannon,80,Water,#56,21.00%,Sand Whip,80,Ground,#163,15.00%,Fissure Quake,85,Ground,#172,21.00%,Sludge Cannon,55,Poison,#152,10.00%,Knacker,**,#450,10.00%,Sandstorm Shield,****,#176,7.00%,Burrow,#385,15.00%,Miss,#1,16.00%
14,Spiguin,Ghost,,Deathly Decimation,120,Ghost,#258,19.00%,Guillotine,85,Normal,#17,5.00%,Deathly Dismemberment,85,Undead,#370,4.00%,Cross Chop,55,Fighting,#134,15.00%,Ghostly Possession,****,#266,13.00%,Screech,***,#31,10.00%,Riftwalk,#381,27.00%,Miss,#1,34.00%
15,Gothium,Dark,Fighting,Shadowy Sweep,80,Dark,#290,19.00%,Last Resort,120,Normal,#24,16.00%,Close Combat,85,Fighting,#136,15.00%,Night Terror,70,Ghost,#261,16.00%,Frighten,*,#299,6.00%,Demonic Dread,***,#301,6.00%,Shadow Swap,#382,20.00%,Miss,#1,22.00%
16,Hoppit,Normal,,Head Kick,70,Normal,#13,13.00%,Body Slam,60,Normal,#11,10.00%,Zap Kick,40,Electric,#97,11.00%,Telepathic Tempest,85,Psychic,#208,11.00%,Taunt and Tease,****,#32,17.00%,Screech,***,#31,17.00%,Dodge,#376,12.00%,Miss,#1,21.00%
17,Psykit,Dark,,Dark Energy Blast,100,Dark,#291,12.00%,Smack Down,70,Fighting,#135,5.00%,Obilivion Orb,70,Dark,#297,17.00%,Snuggle Tackle,70,Normal,#27,12.00%,Taunt and Tease,****,#32,16.00%,Lullaby,**,#30,17.00%,Shadow Swap,#382,15.00%,Miss,#1,21.00%
18,Ampsy,Dark,Psychic,Mental Shockwave,100,Psychic,#201,25.00%,Abyssal Annihilation,120,Dark,#293,10.00%,Telepathic Tempest,85,Psychic,#208,12.00%,Shockwave Smash,85,Electric,#100,6.00%,Magnet Wave,**,#102,10.00%,Mind Control,***,#211,11.00%,Evade,#375,10.00%,Miss,#1,26.00%
19,Amparc,Dark,Electric,Dark Energy Blast,100,Dark,#291,25.00%,Thunderbolt Blitz,120,Electric,#96,18.00%,Electro Ball,70,Electric,#99,19.00%,Close Combat,85,Fighting,#136,9.00%,Surge Shield,*,#101,11.00%,Spirit Boost,*,#137,7.00%,Shadow Swap,#382,15.00%,Miss,#1,11.00%
20,Voltragon,Dragon,Electric,Obliterating Breath,120,Dragon,#275,23.00%,Zap Cannon,80,Electric,#91,12.00%,Spark Shuriken,55,Electric,#98,10.00%,Heavenly Hurricane,85,Fairy,#334,19.00%,Ancient Rage,****,#284,9.00%,Shockwave Shield,****,#104,5.00%,Parry,#388,24.00%,Miss,#1,22.00%
21,Spearfire,Flying,Steel,Dive Bomb,100,Flying,#184,9.00%,Metal Whip,80,Steel,#307,10.00%,Steel Swipe,55,Steel,#314,12.00%,Talon Tornado,85,Flying,#190,11.00%,Brave Bird,***,#193,16.00%,Metallic Harden,***,#319,10.00%,Fly,#391,15.00%,Miss,#1,32.00%
22,Fearfire,Fire,Steel,Incinerate,100,Fire,#40,22.00%,Metal Fang,100,Steel,#309,12.00%,Omega Steel Strike,85,Steel,#316,10.00%,Searing Strike,55,Fire,#44,8.00%,Burn Up,**,#48,13.00%,Confuse Ray,*,#29,8.00%,Detect,#390,10.00%,Miss,#1,27.00%
23,Spiketox,Fire,Poison,Venomous Bite,50,Poison,#144,15.00%,Napalm,125,Fire,#398,17.00%,Venom Pounce,70,Poison,#153,11.00%,Noxious Eruption,85,Poison,#154,8.00%,Venemous Vortex,****,#158,18.00%,Burn Up,**,#48,13.00%,Protect,#377,12.00%,Miss,#1,18.00%
24,Burnjaw,Fire,Poison,Magma Blast,80,Fire,#38,13.00%,Tremor Shake,70,Ground,#171,14.00%,Noxious Eruption,85,Poison,#154,23.00%,Flame Whirlwind,70,Fire,#45,15.00%,Molten Maelstrom,***,#49,8.00%,Burn Up,**,#48,6.00%,Detect,#390,19.00%,Miss,#1,21.00%
25,Wriggul,Bug,,Bug Bite,30,Bug,#213,6.00%,Bramble Barrage,80,Grass,#73,15.00%,Chrysalid Charge,70,Bug,#225,21.00%,Grass Power,75,Grass,#475,8.00%,Infestation,****,#230,22.00%,Metamorphosis Madness,***,#229,13.00%,Protect,#377,11.00%,Miss,#1,15.00%
26,Poddle,Bug,,Skull Bash,80,Normal,#14,17.00%,Venoshock,120,Poison,#150,15.00%,Chrysalid Charge,70,Bug,#225,20.00%,Pollen Puff,55,Grass,#80,10.00%,Metamorphosis Madness,***,#229,13.00%,Rapid Evolution,****,#464,11.00%,Protect,#377,20.00%,Miss,#1,14.00%
