#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID
1,Fiepion,Fire,,Flame Charge,50,Fire,#36,8.00%,Wild Rush,80,Normal,#15,15.00%,Quick Attack,40,Normal,#25,10.00%,Infernal Explosion,85,Fire,#46,12.00%,Taunt and Tease,****,#32,20.00%,Screech,***,#31,10.00%,Dodge,#376,21.00%,Miss,#1,25.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E16E5DA9C00000001
2,Elapix,Fire,,Magma Blast,80,Fire,#38,15.00%,Bump and Run,100,Normal,#20,19.00%,Ice Fang,50,Ice,#108,11.00%,Infernal Explosion,85,Fire,#46,11.00%,Hellfire,*****,#454,10.00%,Burn Up,**,#48,10.00%,Evade,#375,15.00%,Miss,#1,24.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2DCBAB9D00000002
3,Blastingo,Fighting,Fire,Submission Slam,120,Fighting,#132,20.00%,Inferno Blitz,80,Fire,#37,27.00%,Extreme Speed,85,Normal,#28,8.00%,Spark Shuriken,55,Electric,#98,6.00%,Fire Cloak,*,#47,12.00%,Pheonix Fury,****,#50,8.00%,Backflip,#378,10.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E44B17C9E00000003
4,Sapple,Grass,,Foliage Frenzy,50,Grass,#72,9.00%,Seed Bomb,80,Grass,#74,21.00%,Extreme Speed,85,Normal,#28,13.00%,Digging Strike,55,Ground,#170,5.00%,Leaf Wrap,*****,#443,15.00%,Taunt and Tease,****,#32,17.00%,Withdraw,#379,10.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5B974D9F00000004
5,Cowl,Grass,,Seed Bomb,80,Grass,#74,11.00%,Sand Whip,80,Ground,#163,12.00%,Leaf Tornado,70,Grass,#81,15.00%,Tremor Shake,70,Ground,#171,16.00%,Leaf Wrap,*****,#443,7.00%,Floral Fusion,****,#86,18.00%,Protect,#377,12.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E727D1EA000000005
6,Armafree,Grass,Ground,Thorn Blizzard,120,Grass,#77,19.00%,Earthquake,100,Ground,#165,12.00%,Digging Strike,55,Ground,#170,10.00%,Chlorophyll Charge,85,Grass,#82,13.00%,Leaf Wrap,*****,#443,11.00%,Sand Pit Trap,***,#175,8.00%,Protect,#377,5.00%,Miss,#1,27.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8962EFA100000006
7,Cobrung,Water,,Water Gun,50,Water,#53,10.00%,Zen Headbutt,80,Psychic,#200,10.00%,Water Whip,55,Water,#62,9.00%,Water Power,75,Water,#474,11.00%,Oceanic Domain,*****,#455,11.00%,Sand Pit Trap,***,#175,24.00%,Dodge,#376,10.00%,Miss,#1,25.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA048C0A200000007
8,Cobrush,Water,,Tidal Wave,80,Water,#55,22.00%,Wild Rush,80,Normal,#15,9.00%,Torrential Tempest,70,Water,#63,20.00%,Venom Pounce,70,Poison,#153,18.00%,Freeze Ray,**,#120,7.00%,Briny Blast,****,#68,8.00%,Dive,#387,10.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB72E91A300000008
9,Cobash,Water,Poison,Acidic Avalanche,100,Poison,#147,21.00%,Midnight Maul,80,Dark,#289,19.00%,Eternal Nightfall,85,Dark,#298,11.00%,Drenching Downpour,85,Water,#64,12.00%,Nocturnal Nightmare,****,#302,7.00%,Dark Whispers,**,#300,5.00%,Parry,#388,13.00%,Miss,#1,25.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECE1462A400000009
10,Skyroar,Dragon,Flying,Aeroblast,120,Flying,#186,18.00%,World-ending Fire,120,Dragon,#276,18.00%,Jet Strike,55,Normal,#26,9.00%,Shockwave Smash,85,Electric,#100,9.00%,Dragon's Roar,***,#283,6.00%,Ancient Rage,****,#284,14.00%,Fly,#391,35.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE4FA33A50000000A
11,Flamey,Dark,Fire,Skull Bash,80,Normal,#14,14.00%,Magma Blast,80,Fire,#38,9.00%,Eclipse Eruption,55,Dark,#296,14.00%,Flame Whirlwind,70,Fire,#45,20.00%,Pheonix Fury,****,#50,14.00%,Burn Up,**,#48,7.00%,Leap,#380,8.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC5D458BA0000001F
12,Lupis,Dark,Ghost,Midnight Maul,80,Dark,#289,18.00%,Ethereal Blast,80,Ghost,#254,16.00%,Close Combat,85,Fighting,#136,8.00%,Night Terror,70,Ghost,#261,10.00%,Soul Drain,***,#265,10.00%,Ghostly Possession,****,#266,12.00%,Evade,#375,20.00%,Miss,#1,26.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDCBA29BB00000020
13,Hypoda,Ground,Water,Hydro Cannon,80,Water,#56,21.00%,Sand Whip,80,Ground,#163,16.00%,Fissure Quake,85,Ground,#172,21.00%,Sludge Cannon,55,Poison,#152,10.00%,Knacker,**,#450,8.00%,Sandstorm Shield,****,#176,5.00%,Burrow,#385,16.00%,Miss,#1,19.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF39FFABC00000021
14,Spiguin,Ghost,,Deathly Decimation,120,Ghost,#258,19.00%,Guillotine,85,Normal,#17,5.00%,Deathly Dismemberment,85,Undead,#370,4.00%,Cross Chop,55,Fighting,#134,15.00%,Ghostly Possession,****,#266,13.00%,Screech,***,#31,13.00%,Riftwalk,#381,23.00%,Miss,#1,31.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0A85CBBD00000022
15,Gothium,Dark,Fighting,Shadowy Sweep,80,Dark,#290,19.00%,Last Resort,120,Normal,#24,16.00%,Close Combat,85,Fighting,#136,15.00%,Night Terror,70,Ghost,#261,16.00%,Frighten,*,#299,6.00%,Demonic Dread,***,#301,5.00%,Shadow Swap,#382,16.00%,Miss,#1,23.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E93E8B1C300000028
16,Hoppit,Normal,,Head Kick,70,Normal,#13,13.00%,Body Slam,60,Normal,#11,10.00%,Zap Kick,40,Electric,#97,11.00%,Telepathic Tempest,85,Psychic,#208,11.00%,Taunt and Tease,****,#32,17.00%,Screech,***,#31,17.00%,Dodge,#376,15.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EAACE82C400000029
17,Psykit,Dark,,Dark Energy Blast,100,Dark,#291,12.00%,Smack Down,70,Fighting,#135,5.00%,Obilivion Orb,70,Dark,#297,17.00%,Snuggle Tackle,70,Normal,#27,12.00%,Taunt and Tease,****,#32,16.00%,Lullaby,**,#30,16.00%,Shadow Swap,#382,11.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC1B453C50000002A
